otu sim del ins mis len score hit i
denovo272  97.89  3  2  1 284 1343.0 C15.23_KC597697 56
denovo274  96.68  3  2  4 271 1251.0 D1a_multiple 56
denovo276  97.53  5  1  1 283 1332.5 C15.9_FN563475 56
denovo278  98.24  0  2  3 284 1356.5 C15.23_KC597697 56
denovo499  97.86  1  1  4 281 1326.5 C3_multiple 56
denovo498  96.47  2  3  5 283 1220.0 C3_multiple;C3.7_FJ461502;C1011_DQ480605;C1114_AB207196;C1190_EU099841;C1182_AB294649 56
denovo552  96.97  6  1  1 264 1213.0 C3k_AY589737 56
denovo555  94.48  5  1  2 145  548.5 C3k_AY589737 56
denovo556  96.45  5  3  2 282 1287.5 C3b_AF499791 56
denovo557  96.06  6  2  3 279 1262.0 C1148_EU040178;C1.v1a_FJ919243;C1008_DQ480613;C3f_AY589734 56
denovo491  94.57 11  2  2 276 1196.5 C3k_AY589737 56
denovo490  98.23  2  3  0 283 1347.5 C15a_AY258476;C15_AY239369 56
denovo492  98.55  0  3  1 276 1319.0 C21/3d/C3k_AY239372 56
denovo495  96.07  2  5  4 280 1248.5 C3k_AY589737 56
denovo494  97.23  2  1  4 253 1167.5 C3k_AY589737 56
denovo158  96.82  1  2  6 283 1319.5 C3.11_FJ461506 56
denovo159  98.94  1  2  0 283 1318.5 C15_AY239369;C15.22_KC597695 56
denovo154  98.23  3  2  0 283 1352.5 C15.4_FJ461511;C15.6_FN563472 56
denovo156  98.94  2  1  0 284 1383.5 C15.23_KC597697 56
denovo157  98.59  0  2  2 283 1360.5 C3k_AY589737 56
denovo152  96.69  9  0  0 272 1250.0 C1d_AY258488 56
denovo153  98.59  0  2  2 284 1371.0 C15.23_KC597697 56
denovo729  96.40  5  3  2 278 1260.0 C15_AY239369 56
denovo728  97.54  2  4  1 284 1328.0 C15.23_KC597697 56
denovo727  96.81  0  1  7 251 1171.0 A8_AY258468 56
denovo726  97.86  3  1  2 280 1317.5 C15.22_KC597695 56
denovo725  97.89  0  4  2 284 1340.0 C15.23_KC597697 56
denovo723  96.47  6  2  2 283 1303.0 C15_AY239369 56
denovo722  98.64  1  1  1 220 1019.0 C22_AY239373 56
denovo721  96.31  4  2  4 271 1239.5 D1.11_HE579040 56
denovo129  96.47  2  2  6 283 1303.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo128  96.82  6  1  2 283 1312.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo87  97.82  4  2  0 275 1288.0 C1198_EU099810;C1.v1a_FJ919243;C1008_DQ480613 56
denovo81  97.53  0  2  5 283 1333.5 C3_multiple 56
denovo80  96.47  8  0  2 283 1313.0 C1d_AY258488 56
denovo83  99.29  0  1  1 283 1390.5 C1c/C45_multiple;C3_multiple;C1m_AY765398;C1206_EU074965;C1231_EU074878;C1.7_FJ461494;C1011_DQ480605;C1198_EU099810;C1h_AY258473;C1.6_FJ461493;C1059_DQ480609;C1060_DQ480600;C1148_EU040178;C1p_GU907652;C1f_AY258490;C1j_AY589732;C1207_EU074964;C1a_AF499788;C1g_AY589730;C1006_DQ480629;C1.5_EF634157;C1.v1a_FJ919243;C1005_DQ480633;C94_AJ621539;C1010_DQ480607;C41_AY258486;C1009_DQ480608;C1227_EU074882;C1208_EU074963;C1197_EU099814;C1008_DQ480613;C1052_AY186570;C1228_EU074883;C18_AY258478 56
denovo82  99.22  0  1  1 255 1245.0 A1.4_HE578977 56
denovo121  97.88  0  3  3 283 1336.0 C3k_AY589737 56
denovo120  98.59  0  3  1 283 1354.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo123  98.82  0  2  1 255 1229.5 A1_AF333505 56
denovo122  96.83  3  3  3 284 1309.5 C15.23_KC597697 56
denovo89  98.23  3  2  0 283 1352.5 C1228_EU074883 56
denovo127  95.47  4  4  5 287 1220.0 C55_AY589759 56
denovo69  96.05  3  1  6 253 1146.5 A1.3_HE578976 56
denovo68  96.07  5  2  4 280 1269.0 C3k_AY589737 56
denovo63  98.59  3  1  0 283 1296.5 C3k_AY589737 56
denovo61  93.59  8  4  3 234  961.0 C3k_AY589737 56
denovo67  95.54  3  3  1 157  625.0 C1232_EU118163 56
denovo66  97.62  3  0  0 126  510.0 C1232_EU118163 56
denovo65  96.08  5  1  4 255 1147.0 C3b_AF499791 56
denovo693  99.29  1  1  0 283 1389.0 C3.10_FJ461505 56
denovo895  96.80  6  1  2 281 1292.0 C3k_AY589737 56
denovo894  97.17  5  0  3 283 1335.5 C3k_AY589737 56
denovo877  94.12 13  1  1 255 1108.5 A1_AF333505 56
denovo876  95.29  8  2  2 255 1131.0 A1_AF333505 56
denovo875  98.01  0  2  3 251 1197.0 A3/A6_multiple 56
denovo874  98.55  0  1  3 276 1332.0 C21/3d/C3k_AY239372 56
denovo871  95.98  4  1  5 249 1124.0 A1_AF333505 56
denovo870  98.04  3  1  1 255 1219.0 A1_AF333505 56
denovo590  97.88  0  4  2 283 1274.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo879  96.09  9  1  1 281 1269.5 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo334  95.76  5  2  5 283 1286.5 C3k_AY589737 56
denovo335 100.00  0  0  0 283 1415.0 C15_AY239369 56
denovo330  96.47  4  3  3 283 1294.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo332  97.17  1  4  3 283 1310.0 C40_AY258485 56
denovo235  96.86  5  2  1 255 1177.0 A110_AB190282;A1_AF333505 56
denovo237  98.15  2  2  1 271 1294.0 D1_multiple 56
denovo236  95.02  5  2  7 281 1242.0 C15a_AY258476;C15.4_FJ461511 56
denovo233  98.15  1  3  1 271 1146.0 D1_multiple;D1a_multiple;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895 56
denovo232  97.25  4  2  1 255 1187.5 A1_AF333505 56
denovo651  96.11  3  1  7 283 1305.0 C3k_AY589737 56
denovo896  98.52  1  2  1 271 1299.0 D1_multiple 56
denovo907  98.23  0  4  1 283 1344.0 C1d_AY258488 56
denovo747  95.62  7  2  2 251 1106.5 D1_multiple;D1.6_HQ630881 56
denovo599  98.16  1  0  4 272 1293.5 C3k_AY589737 56
denovo198  95.07  8  3  3 284 1257.0 C15.23_KC597697 56
denovo746  96.47  6  2  1 255 1166.5 A1_AF333505 56
denovo193  98.24  1  1  3 284 1361.5 C1054_AY186565 56
denovo428  97.88  2  1  3 283 1351.5 C15_AY239369;C15.22_KC597695 56
denovo429  96.11  4  1  6 283 1298.0 C15a_AY258476;C15.4_FJ461511 56
denovo581  98.23  0  1  4 283 1358.0 C3k_AY589737 56
denovo580  98.59  0  2  2 283 1360.5 C3_multiple 56
denovo585  96.82  2  3  4 283 1306.0 C15.22_KC597695 56
denovo420  96.83  0  4  5 284 1307.5 C15.23_KC597697 56
denovo421  96.11  8  2  1 283 1285.5 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo422  98.59  1  2  1 283 1364.5 C15.6_FN563472;C15.22_KC597695 56
denovo423  96.11  3  5  3 283 1273.5 C1232_EU118163 56
denovo350  96.82  1  3  5 283 1312.0 C3k_AY589737 56
denovo426  97.85  4  2  0 279 1310.0 C15.6_FN563472;C15.22_KC597695 56
denovo427  95.71  9  2  1 280 1248.0 C15.23_KC597697 56
denovo342  96.47  6  1  3 283 1304.0 C15a_AY258476;C15.4_FJ461511 56
denovo345  98.82  0  2  1 255 1229.5 A1.4_HE578977 56
denovo344  98.59  2  2  0 283 1363.0 C15.6_FN563472;C15.22_KC597695 56
denovo347  96.74  4  2  3 276 1206.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo602  98.55  0  0  2 138  590.0 C1181_AB294640 56
denovo604  97.53  1  2  4 283 1332.0 C3k_AY589737 56
denovo605  98.55  1  2  1 276 1324.0 C21/3d/C3k_AY239372 56
denovo561  97.46  5  2  0 276 1283.0 C1198_EU099810;C1.5_EF634157;C1.v1a_FJ919243;C1008_DQ480613 56
denovo560  97.87  4  2  0 282 1337.0 C1b/C1e_AY239363 56
denovo563  94.85  7  4  3 272 1175.5 C1232_EU118163 56
denovo564  96.48  5  3  2 284  593.0 C1103_AF427470;C1104_AF427469 56
denovo567  96.11  9  2  0 283 1289.0 C1d_AY258488 56
denovo566  96.13  4  4  3 284 1283.5 C1054_AY186565 56
denovo460  95.06  9  2  1 243 1050.0 C1094_AJ291514;C15_AY239369 56
denovo359  99.22  1  1  0 255 1249.0 A1_AF333505 56
denovo904  98.08  1  2  2 261 1240.0 D2_AY686649 56
denovo165  97.53  0  2  5 283 1300.5 C3_multiple;C3.7_FJ461502;C70_AY589774;C1012_DQ480604 56
denovo164  95.67  7  3  2 277 1228.5 C3k_AY589737 56
denovo167  98.94  0  2  1 283 1375.0 C3.10_FJ461505 56
denovo166  95.36  3  2  6 237 1035.5 C3k_AY589737 56
denovo161  98.94  0  0  3 282 1383.0 C3b_AF499791 56
denovo160  97.88  1  1  4 283 1353.0 C3k_AY589737 56
denovo163  96.82  5  1  3 283 1319.5 C3k_AY589737 56
denovo162  93.48  3  3  3 138  496.5 C3k_AY589737 56
denovo514  97.17  2  4  2 283 1308.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo517  97.05  3  2  3 271 1265.5 D1a_multiple 56
denovo512  95.76  3  4  5 283 1271.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo513  96.67  5  2  2 270 1237.5 D1a_multiple 56
denovo468  97.73  2  1  3 264 1231.5 C3_multiple;C1045_DQ068036 56
denovo677  96.38  1  3  1 138  534.0 C3k_AY589737 56
denovo469  97.83  0  1  4 230 1062.5 C1169_AB294660 56
denovo27  94.35  1  8  7 283 1195.5 C3k_AY589737 56
denovo26  97.88  1  3  2 283 1334.5 C3k_AY589737 56
denovo25  98.23  0  2  3 283 1280.0 C3_multiple;C3.7_FJ461502;C1011_DQ480605;C1114_AB207196;C1190_EU099841;C1182_AB294649 56
denovo24  95.71  8  1  3 280 1262.0 C3k_AY589737 56
denovo23  95.05  5  4  5 283 1250.0 C3k_AY589737 56
denovo22  96.13  4  2  5 284 1296.5 C15.23_KC597697 56
denovo21  99.29  0  1  1 280 1364.0 C40_AY258485 56
denovo20  98.71  0  1  2 232 1086.0 C3b_AF499791 56
denovo793  96.57  6  0  2 233 1048.5 C3k_AY589737 56
denovo29  98.94  0  1  2 282 1376.5 C3b_AF499791 56
denovo28  97.42  3  1  3 271 1281.0 D1_multiple 56
denovo781  96.83  0  5  4 284 1301.0 C15.23_KC597697 56
denovo780  96.80  6  2  1 281 1285.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo768  96.43  4  3  2 252 1122.5 C3k_AY589737 56
denovo763  93.97  3  5  9 282 1137.5 C3b_AF499791 56
denovo767  96.11  0  5  6 283 1283.5 C3k_AY589737 56
denovo766  97.17  2  3  3 283 1313.5 C3k_AY589737 56
denovo764  98.21  3  1  1 280 1332.0 C15.23_KC597697 56
denovo832  95.76  9  1  2 283 1286.5 C3k_AY589737 56
denovo831  98.23  1  2  2 282 1350.5 C3b_AF499791 56
denovo830  95.05  8  1  5 283 1270.5 C3k_AY589737 56
denovo787  97.89  1  2  3 284 1346.0 C15.23_KC597697 56
denovo835  96.03  5  4  2 277 1233.0 C15.23_KC597697 56
denovo834  98.59  0  3  1 283 1354.0 C15_AY239369;C15.22_KC597695 56
denovo679  97.40  2  0  5 269 1261.5 C3k_AY589737 56
denovo678  98.77  2  0  0 162  718.5 C1232_EU118163 56
denovo656  98.23  0  4  1 283 1283.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo331  96.41  0  2  7 251 1155.5 A8_AY258468 56
denovo668  96.47  4  2  4 283 1306.0 C3k_AY589737 56
denovo397  96.47  6  2  1 255 1172.0 A1/A13_multiple;A1.3_HE578976;A1_AF333505 56
denovo392  99.29  0  1  1 283 1385.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo393  98.23  0  1  4 283 1363.5 C3k_AY589737 56
denovo390  96.69  3  2  4 272 1261.5 D4_DQ865214 56
denovo231  98.41  0  1  3 251 1207.0 A8_AY258468 56
denovo398  97.13  4  1  2 244 1128.5 A1.3_HE578976 56
denovo230  97.17  2  2  4 283 1327.0 C15.6_FN563472;C15.22_KC597695 56
denovo676  94.62  3  1  3 130  490.0 C3.9_FJ461504 56
denovo905  98.59  0  4  0 283 1292.5 C15.22_KC597695 56
denovo526  96.72  4  2  2 244 1094.0 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo903  97.61  1  2  3 251 1181.0 A8_AY258468 56
denovo902  96.82  0  4  5 283 1302.5 C3k_AY589737 56
denovo901  98.23  0  1  4 283 1358.0 C3k_AY589737 56
denovo657  98.94  3  0  0 283 1383.0 C15.22_KC597695 56
denovo908  97.61  1  2  3 251 1186.5 A3/A6_multiple 56
denovo464  97.53  0  3  4 283 1250.0 C3_multiple;C3.7_FJ461502;C1011_DQ480605;C1114_AB207196;C1190_EU099841;C1182_AB294649 56
denovo465  97.88  2  1  3 283 1346.0 C3k_AY589737 56
denovo466  98.55  1  2  1 276 1324.0 C21.12_FJ461514 56
denovo467  99.29  0  1  1 281 1364.0 C1p_GU907652;C1008_DQ480613 56
denovo309  97.17  4  3  1 283 1312.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo308  96.81  7  1  0 251 1154.0 A1.4_HE578977 56
denovo305  99.22  0  2  0 255 1244.0 A1.4_HE578977 56
denovo307  96.86  1  3  4 255 1176.5 A1_AF333505 56
denovo306  96.08  8  1  1 255 1161.0 A1.4_HE578977 56
denovo301  97.65  3  1  2 255 1210.0 A1_AF333505 56
denovo300  96.47  3  2  4 255 1176.5 A109_AB190285;A1_AF333505 56
denovo302  98.04  2  3  0 255 1207.5 A1.4_HE578977 56
denovo263  98.01  0  3  2 251 1185.0 A7_AY239360 56
denovo266  95.79  2  4  2 190  787.0 C3k_AY589737 56
denovo267  96.80  4  2  3 281 1288.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
