otu	sim	del	ins	mis	len	score	hit
48	denovo13686	73.58	19	10	50	299	356	F3.2a_AM748568
49	denovo13686	72.55	16	16	52	306	356	I1_FN561559
50	denovo13096	72.58	20	12	50	299	358	F3.2a_AM748568
51	denovo13423	73.86	15	14	51	306	358.5	I1_FN561559
52	denovo9870	70.57	19	9	60	299	359	F3.2_AM748567
53	denovo7553	73.91	19	10	49	299	359.5	F3.2a_AM748568
54	denovo2665	73.91	19	14	45	299	360	F3.2a_AM748568
55	denovo17378	69.9	17	9	64	299	361	F3.2a_AM748568
56	denovo4938	72.22	13	16	56	306	361	I1_FN561559
57	denovo9920	71.24	20	10	56	299	362	F3.2a_AM748568;F3.2_AM748567
58	denovo7258	71.24	16	10	60	299	362	F3.2a_AM748568;F3.2_AM748567
59	denovo4309	71.71	13	14	59	304	362	F3.1a_AM748566
60	denovo17346	72.37	12	14	58	304	363	F3.1a_AM748566
61	denovo15400	71.77	17	10	56	294	363.5	F3.2a_AM748568
62	denovo4024	74.58	16	8	52	299	364.5	F3.2a_AM748568;F3.2_AM748567
63	denovo4210	72.88	14	17	52	306	364.5	I1_FN561559
64	denovo6174	71.05	12	11	65	304	365	F3.1a_AM748566
65	denovo12585	73.86	15	14	51	306	365	I1_FN561559
66	denovo14071	70.92	16	14	59	306	365	I2_FN561560
67	denovo13805	73.86	15	14	51	306	365.5	I1_FN561559
68	denovo9147	69.9	18	8	64	299	366	F3.2a_AM748568;F3.2_AM748567
69	denovo4161	72.91	19	10	52	299	366.5	F3.2a_AM748568
70	denovo2367	71.88	13	13	55	288	367	B6_AF499783
71	denovo1785	71.91	21	11	52	299	367.5	F3.2a_AM748568
72	denovo14275	71.91	20	11	53	299	367.5	F3.2a_AM748568
73	denovo16494	71.91	20	11	53	299	367.5	F3.2a_AM748568
74	denovo1342	71.91	20	11	53	299	368	F3.2a_AM748568
75	denovo4052	71.91	20	11	53	299	368	F3.2a_AM748568
76	denovo12001	70.23	18	9	62	299	368	F3.2a_AM748568;F3.2_AM748567
77	denovo9262	72.91	17	12	52	299	369	F3.2a_AM748568
78	denovo14228	72.58	19	11	52	299	369.5	F3.2a_AM748568
79	denovo5984	70.57	18	9	61	299	371	F3.2a_AM748568
80	denovo12004	70.23	17	9	63	299	371	F3.2a_AM748568
81	denovo10137	69.9	16	8	66	299	371	F3.2_AM748567
82	denovo14227	71.57	20	10	55	299	371.5	F3.2a_AM748568
83	denovo2954	72.58	18	11	53	299	372.5	F3.2a_AM748568
84	denovo11221	71.57	19	10	56	299	372.5	F3.2a_AM748568
85	denovo9918	71.57	15	11	59	299	372.5	F3.2a_AM748568
86	denovo10083	71.57	15	10	60	299	372.5	F3.2_AM748567
87	denovo12006	69.9	18	7	65	299	372.5	F3.2_AM748567
88	denovo10908	72.58	17	11	54	299	373	F3.2_AM748567
89	denovo3811	71.57	19	10	56	299	373	F3.2a_AM748568
90	denovo6863	71.57	19	10	56	299	373	F3.2a_AM748568
91	denovo7755	70.23	14	8	67	299	373	F3.2a_AM748568
92	denovo2064	72.58	17	11	54	299	373.5	F3.2_AM748567
93	denovo5202	72.58	17	11	54	299	374	F3.2_AM748567
94	denovo4943	72.7	11	14	58	304	374	F3.1a_AM748566
95	denovo6603	72.24	21	11	51	299	374.5	F3.2a_AM748568
96	denovo14961	71.57	21	10	54	299	374.5	F3.2a_AM748568
97	denovo10544	71.24	16	9	61	299	374.5	F3.2_AM748567
98	denovo16920	71.91	17	10	57	299	375	F3.2_AM748567
99	denovo3731	72.88	12	17	54	306	375	I2_FN561560
100	denovo15133	71.24	17	9	60	299	375.5	F3.2a_AM748568
101	denovo17555	72.24	18	11	54	299	376.5	F3.2a_AM748568
102	denovo13512	71.91	19	10	55	299	377	F3.2a_AM748568
103	denovo13801	71.91	19	10	55	299	377	F3.2a_AM748568
104	denovo5869	71.91	19	10	55	299	377	F3.2a_AM748568
105	denovo8360	72.88	13	15	55	306	377	I2_FN561560
106	denovo11854	69.9	16	7	67	299	377.5	F3.2_AM748567
107	denovo1453	71.91	19	10	55	299	378	F3.2a_AM748568
108	denovo2353	71.91	19	10	55	299	378.5	F3.2a_AM748568
109	denovo6575	71.91	19	10	55	299	378.5	F3.2a_AM748568
110	denovo13190	71.57	11	15	61	306	378.5	I2_FN561560
111	denovo12582	72.22	12	15	58	306	379	I2_FN561560
112	denovo15914	72.58	18	11	53	299	379.5	F3.2a_AM748568
113	denovo6657	71.91	20	10	54	299	380	F3.2a_AM748568
114	denovo7492	71.38	20	11	50	283	380.5	B3_AF333514
115	denovo14863	72.24	17	9	57	299	380.5	F3.2a_AM748568
116	denovo8930	70.23	18	7	64	299	380.5	F3.2a_AM748568;F3.2_AM748567
117	denovo4555	70.23	14	8	67	299	381.5	F3.2_AM748567
118	denovo14648	76.32	15	21	36	304	381.5	F3.1_AM748565;F114_AJ291525
119	denovo15398	72.24	21	10	52	299	382	F3.2a_AM748568
120	denovo14370	71.9	11	15	60	306	382	I2_FN561560
121	denovo4473	72.58	16	11	55	299	382.5	F3.2a_AM748568
122	denovo4121	71.57	18	9	58	299	382.5	F3.2a_AM748568
123	denovo10570	70.9	17	9	61	299	383	F3.2a_AM748568
124	denovo16603	73.24	20	12	48	299	383.5	F3.2a_AM748568
125	denovo13084	72.24	17	10	56	299	385	F3.2a_AM748568
126	denovo339	70.57	18	7	63	299	385	F3.2a_AM748568
127	denovo17290	72.24	19	10	54	299	387	F3.2a_AM748568
128	denovo5742	71.57	15	9	61	299	387.5	F3.2a_AM748568
129	denovo2124	72.91	18	11	52	299	389.5	F3.2a_AM748568
130	denovo15290	73.24	17	11	52	299	392	F3.2a_AM748568
131	denovo14211	82.61	3	13	32	276	407	C21.22_KC597692
132	denovo12346	81.16	8	11	33	276	430.5	C21.22_KC597692
133	denovo13471	81.16	9	12	31	276	433.5	C21.22_KC597692
134	denovo8173	80.92	10	10	34	283	436	C1232_EU118163
135	denovo7893	75.89	10	14	44	282	438	F4.4_AM748582
136	denovo16908	81.27	8	10	35	283	441	C3k_AY589737
137	denovo4363	75.62	9	13	47	283	441.5	C15.26_KC597686
138	denovo8172	74.2	10	11	52	283	443	C15.26_KC597686
139	denovo11549	78.8	10	12	38	283	443.5	C1168_AB294583
140	denovo5613	82.75	8	9	32	284	443.5	C1159_AB294613;C1150_AB294622
141	denovo13602	77.39	10	13	41	283	445	C15.26_KC597686
142	denovo10413	80.07	9	10	36	276	447	C21.22_KC597692
143	denovo9986	80.57	11	13	31	283	447.5	C1168_AB294583
144	denovo17329	80.43	9	12	33	276	448	C21.22_KC597692
145	denovo764	79.35	8	15	34	276	448.5	C21.22_KC597692
146	denovo17214	80.07	7	12	36	276	449.5	C21.22_KC597692
147	denovo3594	76.68	11	13	42	283	450	C15.26_KC597686
148	denovo11281	80.43	9	11	34	276	450.5	C21.22_KC597692
149	denovo8640	75.97	10	14	44	283	450.5	C15.26_KC597686
150	denovo17485	75.62	11	12	46	283	451.5	C15.26_KC597686
151	denovo6827	75.97	11	12	45	283	455.5	C15.26_KC597686
152	denovo4805	80.14	7	9	40	282	459.5	C1174_AB294655
153	denovo4805	77.63	8	10	48	295	459.5	F3.3_AM748569
154	denovo17240	83.7	4	12	29	276	460.5	C21.22_KC597692
155	denovo14656	78.8	11	12	37	283	461.5	C1085_AY624605
156	denovo15928	75.27	12	9	49	283	461.5	C15.26_KC597686
157	denovo17435	81.52	11	11	29	276	464	C21.22_KC597692
158	denovo14405	83.75	9	11	26	283	473.5	C1168_AB294583
159	denovo16203	79.51	10	10	38	283	481	C1085_AY624605
160	denovo15411	71.38	15	7	59	283	487	C1085_AY624605
161	denovo8545	74.2	12	11	50	283	487.5	C15.26_KC597686
162	denovo15369	75.89	19	9	40	282	490.5	C52_AY589757
163	denovo15843	74.91	19	7	45	283	490.5	C1085_AY624605
164	denovo10326	74.91	18	7	46	283	491	C1085_AY624605
165	denovo3527	72.56	16	9	51	277	493.5	C27.1_FJ461517
166	denovo8286	72.79	16	8	53	283	494	C1085_AY624605
167	denovo8286	70.77	20	6	57	284	494	C1186_AB294628
168	denovo8513	74.56	19	5	48	283	496	C1085_AY624605;C1066_DQ335382
169	denovo8652	71.83	17	8	55	284	498.5	C3L_AY589738
170	denovo673	70.68	25	11	59	324	500	C49_AY589754
171	denovo13522	70.32	22	6	56	283	501.5	C1022_DQ335331
172	denovo6082	70.37	24	10	62	324	501.5	C49_AY589754
173	denovo13475	73.5	21	7	47	283	502	C37_AY258481
174	denovo899	70.42	22	6	56	284	504	C3L_AY589738
175	denovo17487	74.39	18	7	48	285	505	C59_AY589763
176	denovo16693	69.75	24	9	65	324	506	C49_AY589754
177	denovo6234	75.27	18	6	46	283	507	C1085_AY624605
178	denovo13386	74.69	20	12	50	324	508	C49_AY589754
179	denovo5179	70.37	23	11	62	324	509	C49_AY589754
180	denovo16481	71.13	21	6	55	284	509.5	C1055_DQ480640
181	denovo3927	71.83	22	7	51	284	511.5	C1186_AB294628
182	denovo16457	71.38	22	6	53	283	512	C1022_DQ335331;C37_AY258481
183	denovo16458	71.13	19	6	57	284	512	C1186_AB294628
184	denovo16458	70.42	21	5	58	284	512	C1154_AB294626
185	denovo16458	70.06	23	10	64	324	512	C49_AY589754
186	denovo873	70.99	25	12	57	324	513	C49_AY589754
187	denovo13367	70.88	24	5	54	285	517.5	C59_AY589763
188	denovo5556	70.68	22	12	61	324	520.5	C49_AY589754
189	denovo9131	71.02	24	5	53	283	521	C1085_AY624605
190	denovo6593	70.99	24	11	59	324	523	C49_AY589754
191	denovo6769	71.3	24	11	58	324	524	C49_AY589754
192	denovo2123	72.08	24	7	48	283	524.5	C1.v1b_FJ919244
193	denovo2123	70.53	23	4	57	285	524.5	C59_AY589763
194	denovo2387	96.6	1	3	1	147	585.5	C3k_AY589737
195	denovo9158	97.86	3	0	0	140	587	C3k_AY589737
196	denovo1559	96.1	3	3	0	154	590	C3k_AY589737
197	denovo15418	96.69	1	3	1	151	607.5	C1232_EU118163
198	denovo7569	96.69	1	3	1	151	607.5	C3k_AY589737
199	denovo8159	96.31	1	4	3	217	618	C3k_AY589737
200	denovo8077	96.13	1	3	2	155	620.5	C3k_AY589737
201	denovo2218	96.77	1	3	1	155	629.5	C3k_AY589737
202	denovo9054	96.77	1	3	1	155	629.5	C3k_AY589737
203	denovo11649	99.31	0	0	1	145	637	C3k_AY589737
204	denovo7407	97.42	0	3	1	155	640	C1232_EU118163
205	denovo491	96.82	1	3	1	157	640.5	C1232_EU118163;C3k_AY589737
206	denovo6271	96.82	1	3	1	157	640.5	C3k_AY589737
207	denovo15471	97.44	0	1	3	156	659.5	C3.9_FJ461504
208	denovo6361	98.06	0	2	1	155	662.5	C39_AY258484
209	denovo10209	96.53	1	4	1	173	713	C1232_EU118163
210	denovo15956	96.53	1	4	1	173	713	C3k_AY589737
211	denovo12139	96.72	1	4	1	183	768	C3k_AY589737
212	denovo14721	96.79	1	4	1	187	790	C3k_AY589737
213	denovo4426	98.52	3	1	0	271	802	D1_AF334660;D122_EU074905;D114_AF174549;D121_EU074904;D115_AF174562;D107_AF174568;D1.11_HE579040;D105_AF174570;D1.6_HQ630881;D1.3_JF683337
214	denovo15994	97.26	2	2	2	219	988	D1.11_HE579040
215	denovo7023	96.14	1	6	2	233	1003	C1233_EU118166;C15_AY239369;C15.1_FJ461508;C15.6_FN563472;C15.22_KC597695;C1087_DQ182655
216	denovo4447	95.73	6	4	0	234	1010.5	C1d_AY258488
217	denovo7054	96.83	0	3	5	252	1013.5	C22_AY239373
218	denovo7054	97.17	0	5	3	283	1013.5	C1045_DQ068036
219	denovo4125	98.28	0	2	2	232	1031.5	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695
220	denovo12108	96.55	5	1	2	232	1032.5	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
221	denovo11603	96.14	6	1	2	233	1033.5	C3k_AY589737
222	denovo8093	98.21	1	2	1	224	1038.5	A1_AF333505
223	denovo14811	98.22	1	2	1	225	1044	A1_AF333505
224	denovo11642	99.54	0	0	1	219	1046	C3k_AY589737
225	denovo3489	96.99	1	4	3	266	1046.5	C15.23_KC597697
226	denovo9503	97.81	2	2	1	228	1049.5	A1_AF333505
227	denovo7629	98.67	1	1	1	226	1051	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695;C15.29_KC597690
228	denovo13027	97.83	3	1	1	230	1052	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695
229	denovo1677	97.84	1	3	1	232	1053	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695
230	denovo13750	97.45	1	3	2	235	1060	C15f_AY589743
231	denovo6486	97.4	4	1	1	231	1061	A1_AF333505
232	denovo658	98.67	1	2	0	226	1064	A1.4_HE578977
233	denovo10994	97.53	1	5	1	283	1065	C1d_AY258488
234	denovo13350	97.06	0	2	5	238	1076	C3k_AY589737
235	denovo11919	96.68	5	3	1	271	1076.5	D1_AF334660;D1.6_HQ630881
236	denovo8850	97.86	1	1	3	234	1077	C3k_AY589737
237	denovo16849	98.7	0	1	2	231	1080	C3k_AY589737
238	denovo7293	97.5	1	3	2	240	1086	C3k_AY589737
239	denovo17684	98.71	1	1	1	232	1089.5	C3k_AY589737
240	denovo5396	95.6	0	4	7	250	1093	C3k_AY589737
241	denovo3684	98.31	0	1	3	236	1098.5	C3k_AY589737
242	denovo1295	97.1	3	1	3	241	1100	C3k_AY589737
243	denovo9376	97.88	1	5	0	283	1101.5	C15.6_FN563472
244	denovo1033	99.15	0	1	1	234	1105	C15.23_KC597697
245	denovo5619	97.5	1	1	4	240	1106.5	C3k_AY589737
246	denovo8350	94.12	13	1	1	255	1108.5	A1_AF333505
247	denovo9784	98.23	1	4	0	283	1111.5	C15.6_FN563472
248	denovo14158	98.33	0	3	1	240	1113	C3k_AY589737
249	denovo16150	97.55	1	3	2	245	1113.5	C3k_AY589737
250	denovo14333	93.99	0	4	13	283	1115	C15_AY239369;C1101_AB253787;C15.1_FJ461508;C1088_DQ182640;C15.22_KC597695
251	denovo14139	96.4	4	2	3	250	1118	C3k_AY589737
252	denovo13610	94.64	9	4	1	261	1118.5	C1d_AY258488
253	denovo14067	96.43	4	3	2	252	1122.5	C3k_AY589737
254	denovo1478	97.13	6	1	0	244	1126	A1_AF333505
255	denovo11467	99.16	0	1	1	238	1127	C15.23_KC597697
256	denovo9605	92.25	17	1	3	271	1127	D1_AF334660;D1a_JN558078;D120_EU074900
257	denovo7446	97.94	0	1	4	243	1128	C3k_AY589737
258	denovo6040	95.02	4	4	5	261	1128.5	C3k_AY589737
259	denovo12695	96.05	6	2	2	253	1131	A1_AF333505
260	denovo987	95.29	8	2	2	255	1131	A1_AF333505
261	denovo15820	95.62	2	3	6	251	1133	A8_AY258468
262	denovo6360	96.09	5	4	1	256	1133	C1d_AY258488
263	denovo14412	98.35	2	1	1	243	1134	C15.22_KC597695
264	denovo5919	95.62	1	2	8	251	1136	A8_AY258468
265	denovo15869	94.9	6	1	6	255	1136	A1_AF333505
266	denovo6534	95.29	8	2	2	255	1136.5	A1_AF333505
267	denovo7122	96.82	1	3	5	283	1137	C3k_AY589737
268	denovo17514	94.4	11	2	2	268	1137.5	C55_AY589759
269	denovo14939	93.97	3	5	9	282	1137.5	C3b_AF499791
270	denovo3587	96.8	5	2	1	250	1139.5	A1_AF333505
271	denovo16823	96.02	0	3	7	251	1140	A8_AY258468
272	denovo9091	98.94	0	3	0	283	1143	C15.6_FN563472
273	denovo623	96.41	3	3	3	251	1144.5	A8_AY258468
274	denovo9963	96.02	1	2	7	251	1145	A8_AY258468
275	denovo3130	95.29	6	1	5	255	1145	A110_AB190282;A1_AF333505
276	denovo3024	98.15	1	3	1	271	1146	D1_AF334660;D1a_JN558078;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895
277	denovo17017	95.69	7	2	2	255	1147	A1.4_HE578977
278	denovo4656	96.41	1	3	5	251	1147.5	A8_AY258468
279	denovo11102	97.96	2	0	3	245	1148	C3k_AY589737
280	denovo13160	95.04	1	8	5	282	1148	C3.15_FJ529649
281	denovo8906	98.77	1	1	1	243	1149.5	C15_AY239369;C15.22_KC597695
282	denovo4339	97.19	5	1	1	249	1149.5	A1_AF333505
283	denovo876	96.41	4	2	3	251	1149.5	A6_AF186058
284	denovo15929	95.69	1	3	7	255	1149.5	A1_AF333505
285	denovo16565	97.2	4	2	1	250	1150	A1.4_HE578977
286	denovo8612	97.2	4	2	1	250	1150	A1_AF333505
287	denovo10810	97.53	1	2	4	283	1150.5	C3k_AY589737
288	denovo3655	98.76	2	1	0	241	1151	A1.4_HE578977
289	denovo16813	96.88	1	4	3	256	1151.5	C3k_AY589737
290	denovo7728	96.81	7	1	0	251	1154	A1.4_HE578977
291	denovo9704	97.58	4	1	1	248	1154.5	A1_AF333505
292	denovo974	96.44	3	1	5	253	1155	A1.3_HE578976
293	denovo1051	97.21	4	2	1	251	1155.5	A1.4_HE578977
294	denovo6118	96.41	0	2	7	251	1155.5	A8_AY258468
295	denovo6554	96.41	0	2	7	251	1155.5	A8_AY258468
296	denovo5425	96.84	5	2	1	253	1156	A1_AF333505
297	denovo5021	96.47	4	4	1	255	1156.5	A1.1/A13_AF333504;A1.3_HE578976;A110_AB190282;A1_AF333505
298	denovo5859	98.78	0	1	2	245	1157	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695
299	denovo9477	98.01	1	3	1	251	1157.5	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
300	denovo3395	93.36	14	1	3	271	1159	D1_AF334660;D1a_JN558078;D120_EU074900
301	denovo13802	97.22	4	2	1	252	1161	A1_AF333505
302	denovo16922	97.22	4	2	1	252	1161	A1.4_HE578977
303	denovo6747	96.81	2	2	4	251	1161.5	A7_AY239360
304	denovo15897	98.78	0	1	2	246	1162	C15.23_KC597697
305	denovo1654	96.81	1	2	5	251	1163	A8_AY258468
306	denovo1731	95.52	5	5	2	268	1163.5	C3k_AY589737
307	denovo5670	96.11	0	4	7	283	1163.5	C1233_EU118166;C15_AY239369;C15.1_FJ461508;C1088_DQ182640;C15.6_FN563472;C15.22_KC597695
308	denovo1606	96.08	6	1	3	255	1164	A1_AF333505
309	denovo2650	98.43	0	3	1	255	1164.5	A1.4_HE578977
310	denovo12051	97.21	1	3	3	251	1165.5	A8_AY258468
311	denovo611	97.61	3	2	1	251	1166	A1_AF333505
312	denovo11276	96.47	6	2	1	255	1166.5	A1_AF333505
313	denovo931	97.23	2	1	4	253	1167.5	C3k_AY589737
314	denovo4873	96.47	1	3	5	255	1167.5	A1.4_HE578977
315	denovo2193	96.81	0	1	7	251	1171	A8_AY258468
316	denovo14200	97.62	3	2	1	252	1171.5	A1_AF333505
317	denovo7437	97.62	3	2	1	252	1171.5	A1.4_HE578977
318	denovo16924	97.21	1	2	4	251	1172	A8_AY258468
319	denovo6501	98	4	0	1	250	1172.5	C3k_AY589737
320	denovo6939	95.86	2	4	5	266	1172.5	C3k_AY589737
321	denovo14052	97.61	2	3	1	251	1173	A6_AF186058
322	denovo9292	97.61	2	3	1	251	1173	A6_AF186058
323	denovo5206	96.86	4	2	2	255	1173	A1.4_HE578977
324	denovo146	97.21	0	2	5	251	1173.5	A8_AY258468
325	denovo15699	96.86	2	3	3	255	1174	A1_AF333505
326	denovo14538	96.47	5	1	3	255	1174.5	A1.3_HE578976;A1_AF333505
327	denovo2013	97.25	0	4	3	255	1175	A109_AB190285;A1_AF333505
328	denovo7319	97.23	2	1	4	253	1175.5	A1.3_HE578976;A1_AF333505
329	denovo12498	98.39	1	2	1	249	1176	A1_AF333505
330	denovo14959	97.61	0	3	3	251	1176	A7_AY239360
331	denovo2304	97.61	0	3	3	251	1176	A6_AF186058
332	denovo3833	97.61	0	3	3	251	1176	A6_AF186058
333	denovo8355	97.61	0	3	3	251	1176	A7_AY239360
334	denovo14745	96.47	3	1	5	255	1176	A1.3_HE578976
335	denovo11833	99.19	0	1	1	246	1176.5	C15.23_KC597697
336	denovo15124	96.47	3	2	4	255	1176.5	A109_AB190285;A1_AF333505
337	denovo16588	96.86	1	3	4	255	1176.5	A1_AF333505
338	denovo4060	96.47	3	1	5	255	1176.5	A1.3_HE578976
339	denovo12470	97.21	2	1	4	251	1177	A6_AF186058
340	denovo16312	97.21	2	1	4	251	1177	A6_AF186058
341	denovo1605	97.63	3	2	1	253	1177	A1_AF333505
342	denovo8785	97.63	3	2	1	253	1177	A1_AF333505
343	denovo9677	96.86	5	2	1	255	1177	A110_AB190282;A1_AF333505
344	denovo1008	97.63	2	2	2	253	1178.5	A1_AF333505
345	denovo11349	96.86	4	2	2	255	1178.5	A1_AF333505
346	denovo962	96.86	4	2	2	255	1178.5	A1_AF333505
347	denovo10221	97.62	2	1	3	252	1179.5	A1_AF333505
348	denovo1166	96.86	3	2	3	255	1179.5	A103_AB207206;A1.4_HE578977
349	denovo7872	96.47	5	1	3	255	1180	A1.3_HE578976
350	denovo3678	96.86	3	2	3	255	1180	A1.3_HE578976;A1_AF333505
351	denovo2236	96.86	2	2	4	255	1180.5	A109_AB190285;A1_AF333505
352	denovo16434	98.39	2	1	1	249	1181	A1_AF333505
353	denovo4114	97.61	1	2	3	251	1181	A8_AY258468
354	denovo8487	97.61	1	2	3	251	1181	A8_AY258468
355	denovo7941	97.24	2	1	4	254	1181	A1.3_HE578976;A1_AF333505
356	denovo13338	98.01	3	1	1	251	1181.5	A1.4_HE578977
357	denovo10875	97.25	3	4	0	255	1181.5	A1.1/A13_AF333504;A1.3_HE578976;A1_AF333505
358	denovo9749	97.25	3	4	0	255	1181.5	A1.4_HE578977
359	denovo12038	96.86	2	2	4	255	1181.5	A1_AF333505
360	denovo8979	95.79	7	2	2	261	1182.5	D2_AY686649
361	denovo1855	96.86	1	2	5	255	1183	A1_AF333505
362	denovo2478	96.86	1	2	5	255	1183	A1_AF333505
363	denovo14626	96.55	5	1	3	261	1183	C3k_AY589737
364	denovo8548	97.64	2	2	2	254	1183.5	A1.3_HE578976;A1_AF333505
365	denovo4559	96.86	5	1	2	255	1183.5	A1_AF333505
366	denovo15329	97.25	3	2	2	255	1183.5	A1.4_HE578977
367	denovo11705	97.63	2	2	2	253	1184	A1.4_HE578977
368	denovo2953	98.01	0	3	2	251	1185	A6_AF186058
369	denovo5530	98.01	0	3	2	251	1185	A7_AY239360
370	denovo7125	98.01	0	3	2	251	1185	A7_AY239360
371	denovo14686	96.86	4	1	3	255	1185	A1.4_HE578977
372	denovo3165	96.86	4	1	3	255	1185	A1_AF333505
373	denovo846	96.86	4	1	3	255	1185	A1_AF333505
374	denovo17163	97.25	2	2	3	255	1185	A1_AF333505
375	denovo17184	97.61	2	1	3	251	1185.5	A6_AF186058
376	denovo870	97.61	2	1	3	251	1185.5	A6_AF186058
377	denovo10306	97.21	0	1	6	251	1185.5	A8_AY258468
378	denovo8829	98.4	2	1	1	250	1186	A1_AF333505
379	denovo15638	97.61	2	1	3	251	1186	A6_AF186058
380	denovo8893	97.61	2	1	3	251	1186	A6_AF186058
381	denovo10585	96.86	3	1	4	255	1186	A1.4_HE578977
382	denovo12856	96.86	3	1	4	255	1186	A1.4_HE578977
383	denovo15339	97.31	3	3	1	260	1186	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
384	denovo13683	97.61	1	2	3	251	1186.5	A6_AF186058
385	denovo13952	97.25	4	2	1	255	1187	A1.4_HE578977
386	denovo1603	96.86	2	1	5	255	1187	A1.3_HE578976
387	denovo4101	96.86	2	1	5	255	1187	A1.3_HE578976
388	denovo7271	96.86	2	1	5	255	1187	A1.3_HE578976
389	denovo13369	96.86	6	1	1	255	1187.5	A1_AF333505
390	denovo2434	97.25	4	2	1	255	1187.5	A1_AF333505
391	denovo2829	97.25	4	2	1	255	1187.5	A1_AF333505
392	denovo1138	97.61	0	2	4	251	1188	A16_EU792888;A7_AY239360
393	denovo1513	98.01	2	2	1	251	1188.5	A6_AF186058
394	denovo3830	98.01	2	2	1	251	1188.5	A6_AF186058
395	denovo8486	96.86	5	1	2	255	1188.5	A1.3_HE578976
396	denovo11639	97.61	0	1	5	251	1189	A16_EU792888;A7_AY239360
397	denovo11715	97.61	0	1	5	251	1189	A8_AY258468
398	denovo9539	97.61	0	1	5	251	1189	A6_AF186058
399	denovo11765	97.25	3	2	2	255	1189	A1_AF333505
400	denovo13261	97.25	3	2	2	255	1189	A1_AF333505
