otu	sim	del	ins	mis	len	score	hit
141	denovo352	96.82	6	1	2	283	678.5	C91_AJ621543;C65a_AY589770;C1158_AB294614;C91d_AM748559;C1151_AB294621;C1p_GU907652;C1164_AB294593;C1149_AB294620;C91c_AM748558;C1161_AB294606;C1165_AB294581;C91a_AM748556;C91b_AM748557;C1162_AB294594
142	denovo387	97.52	3	0	1	161	693.5	C3k_AY589737
143	denovo603	94.77	6	2	1	172	693.5	C3k_AY589737
144	denovo114	80.86	13	12	37	324	700	C49_AY589754
145	denovo447	88.65	9	10	13	282	703	C3b_AF499791
146	denovo678	98.77	2	0	0	162	718.5	C1232_EU118163
147	denovo897	98.15	2	2	1	271	722	D1_AF334660;D122_EU074905;D114_AF174549;D121_EU074904;D107_AF174568;D106_AF174559;D1.11_HE579040;D105_AF174570;D1.6_HQ630881;D1.3_JF683337
148	denovo833	95.93	5	0	2	172	724.5	C3.2_FJ461497;C1b/C1e_AY239363
149	denovo674	92.11	10	0	5	190	741.5	C15e_AY589742
150	denovo319	96.09	3	3	1	179	746	C1d_AY258488;C42_AY765402
151	denovo324	94.65	6	1	3	187	751	C15e_AY589742
152	denovo688	97.67	1	1	2	172	751.5	C3.9_FJ461504
153	denovo355	98.84	1	1	0	172	769.5	C3.9_FJ461504
154	denovo148	95.33	4	5	1	214	771.5	D101_AF411416
155	denovo266	95.79	2	4	2	190	787	C3k_AY589737
156	denovo144	98.52	3	1	0	271	802	D1_AF334660;D122_EU074905;D114_AF174549;D121_EU074904;D115_AF174562;D107_AF174568;D1.11_HE579040;D105_AF174570;D1.6_HQ630881;D1.3_JF683337
157	denovo577	95.79	8	0	0	190	809.5	C3k_AY589737
158	denovo212	96.38	4	2	2	221	852.5	D101_AF411416
159	denovo379	93.99	8	3	6	283	853.5	C15.29_KC597690
160	denovo185	94.95	7	3	1	218	918.5	C1d_AY258488
161	denovo508	94.67	3	8	1	225	921.5	C1d_AY258488
162	denovo321	90.46	6	8	13	283	934	C3k_AY589737
163	denovo865	92.64	10	1	6	231	942	C3k_AY589737
164	denovo636	95.05	3	2	6	222	947.5	C15e_AY589742
165	denovo389	91.95	8	2	9	236	948.5	C15_AY239369
166	denovo169	93.47	0	11	5	245	958.5	C3k_AY589737
167	denovo681	94.35	8	3	2	230	959.5	C3k_AY589737
168	denovo61	93.59	8	4	3	234	961	C3k_AY589737
169	denovo758	92.92	13	2	2	240	963.5	C55_AY589759
170	denovo9	95.26	1	7	3	232	978.5	C3k_AY589737
171	denovo515	96.46	4	4	0	226	987.5	C15.6_FN563472;C15.22_KC597695
172	denovo5	96.5	0	3	6	257	991	C3k_AY589737
173	denovo828	95.63	4	3	3	229	992.5	C3k_AY589737
174	denovo247	96.41	5	0	3	223	994	C3k_AY589737
175	denovo748	96.44	4	1	3	225	1001	C3k_AY589737
176	denovo349	96.49	5	1	2	228	1010.5	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695;C15.29_KC597690
177	denovo502	96.83	0	3	5	252	1013.5	C22_AY239373
178	denovo502	97.17	0	5	3	283	1013.5	C1045_DQ068036
179	denovo213	96.49	6	1	1	228	1015	C15.6_FN563472;C15.22_KC597695
180	denovo435	88.09	22	2	9	277	1018	C15f_AY589743
181	denovo722	98.64	1	1	1	220	1019	C22_AY239373
182	denovo146	93.73	12	3	2	271	1026.5	D1_AF334660;D1a_JN558078;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895
183	denovo913	96.9	6	1	0	226	1027	A1_AF333505
184	denovo348	93.03	5	4	11	287	1028.5	C55_AY589759
185	denovo642	97.37	4	1	1	228	1030.5	C3.11_FJ461506
186	denovo915	94.44	9	2	4	270	1032	D1_AF334660;D1a_JN558078;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895
187	denovo703	96.14	6	1	2	233	1033.5	C3k_AY589737
188	denovo860	98.22	2	2	0	225	1034	C1169_AB294660
189	denovo166	95.36	3	2	6	237	1035.5	C3k_AY589737
190	denovo357	96.19	5	1	3	236	1044.5	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
191	denovo367	96.97	2	1	4	231	1046.5	C3k_AY589737
192	denovo378	96.99	1	4	3	266	1046.5	C15.23_KC597697
193	denovo713	96.57	3	1	4	233	1047	C15.4_FJ461511;C15.6_FN563472
194	denovo793	96.57	6	0	2	233	1048.5	C3k_AY589737
195	denovo255	96.96	6	1	0	230	1049	A1_AF333505
196	denovo215	96.57	6	0	2	233	1049	C3k_AY589737
197	denovo460	95.06	9	2	1	243	1050	C1094_AJ291514;C15_AY239369
198	denovo824	97.4	4	1	1	231	1056	C21.12_FJ461514
199	denovo310	94.65	11	1	1	243	1058	A1.4_HE578977
200	denovo299	95.51	5	4	2	245	1058	C3k_AY589737
201	denovo644	96.62	1	2	5	237	1060.5	C3b_AF499791
202	denovo47	93.39	10	5	2	257	1060.5	D1_AF334660;D1.6_HQ630881
203	denovo126	98.26	2	1	1	230	1062.5	C15.22_KC597695
204	denovo469	97.83	0	1	4	230	1062.5	C1169_AB294660
205	denovo16	96.64	2	2	4	238	1064	C3k_AY589737
206	denovo191	97.06	2	3	2	238	1066.5	C3a_AF499790
207	denovo799	92.45	3	4	14	278	1070	C22_AY239373
208	denovo12	97.17	4	2	2	283	1076	C3k_AY589737
209	denovo792	98.27	2	0	2	231	1080	C15_AY239369
210	denovo818	94.78	9	2	2	249	1082.5	A103_AB207206;A1_AF333505
211	denovo551	96.47	1	3	6	283	1084	C3k_AY589737
212	denovo507	97.46	5	0	1	236	1085	C1d_AY258488
213	denovo20	98.71	0	1	2	232	1086	C3b_AF499791
214	denovo303	94.02	10	1	4	251	1086	A1.4_HE578977
215	denovo90	96.42	1	4	5	279	1088	C15.29_KC597690
216	denovo867	97.88	1	2	3	283	1088	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
217	denovo529	96.71	5	1	2	243	1093.5	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
218	denovo526	96.72	4	2	2	244	1094	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
219	denovo375	89.44	17	3	10	284	1097.5	C15f_AY589743
220	denovo412	89.55	19	3	8	287	1098	C55_AY589759
221	denovo712	95.94	8	2	1	271	1101	D1.12_HE579041
222	denovo315	97.88	1	5	0	283	1101.5	C15.6_FN563472
223	denovo48	99.14	1	0	1	232	1105	C15_AY239369;C15.22_KC597695
224	denovo762	94.19	10	1	4	258	1105.5	C15.9_FN563475
225	denovo747	95.62	7	2	2	251	1106.5	D1_AF334660;D1.6_HQ630881
226	denovo391	95.28	7	3	2	254	1107.5	D1_AF334660;D1.6_HQ630881
227	denovo116	96.02	1	6	3	251	1108	A6_AF186058;A155_EU074856
228	denovo877	94.12	13	1	1	255	1108.5	A1_AF333505
229	denovo586	89.79	18	2	9	284	1110.5	C15f_AY589743
230	denovo778	98.23	1	4	0	283	1111.5	C15.6_FN563472
231	denovo820	95.98	7	2	1	249	1112.5	A1_AF333505
232	denovo409	89.79	19	1	9	284	1113	C15f_AY589743
233	denovo284	96.68	6	2	1	271	1113.5	D1_AF334660;D1a_JN558078;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895
234	denovo839	90.11	18	2	8	283	1114.5	C15a_AY258476;C15.4_FJ461511
235	denovo479	93.99	0	4	13	283	1115	C15_AY239369;C1101_AB253787;C15.1_FJ461508;C1088_DQ182640;C15.22_KC597695
236	denovo844	96.06	5	2	3	254	1116.5	C55_AY589759
237	denovo873	94.51	12	1	1	255	1118.5	A1_AF333505
238	denovo819	95.29	5	5	2	255	1121.5	A1_AF333505
239	denovo254	96.4	4	2	3	250	1122.5	C1201_EU099793
240	denovo768	96.43	4	3	2	252	1122.5	C3k_AY589737
241	denovo871	95.98	4	1	5	249	1124	A1_AF333505
242	denovo626	96.68	5	1	3	271	1124.5	D1_AF334660;D1a_JN558078;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D105_AF174570;D1.12_HE579041;D123_EU074895
243	denovo650	95.65	7	2	2	253	1126	A1.4_HE578977
244	denovo398	97.13	4	1	2	244	1128.5	A1.3_HE578976
245	denovo351	95.02	4	4	5	261	1128.5	C3k_AY589737
246	denovo199	95.62	1	3	7	251	1129.5	A8_AY258468
247	denovo876	95.29	8	2	2	255	1131	A1_AF333505
248	denovo0	90.49	19	2	6	284	1131.5	C15.23_KC597697
249	denovo400	95.62	2	3	6	251	1133	A8_AY258468
250	denovo407	97.57	4	1	1	247	1135	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695
251	denovo269	95.62	1	2	8	251	1136	A8_AY258468
252	denovo257	94.9	9	1	3	255	1137	A1_AF333505
253	denovo217	94.4	11	2	2	268	1137.5	C55_AY589759
254	denovo763	93.97	3	5	9	282	1137.5	C3b_AF499791
255	denovo664	95.62	3	2	6	251	1138.5	A8_AY258468
256	denovo598	94.3	5	2	8	263	1139.5	C94_AJ621539
257	denovo473	95.2	5	3	5	271	1145	C3k_AY589737
258	denovo716	96.43	1	1	7	252	1145.5	C3k_AY589737
259	denovo7	91.52	0	4	20	283	1145.5	C15_AY239369
260	denovo233	98.15	1	3	1	271	1146	D1_AF334660;D1a_JN558078;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895
261	denovo2	97.2	5	1	1	250	1146.5	C15a_AY258476;C15_AY239369
262	denovo113	96.41	6	2	1	251	1146.5	A6_AF186058
263	denovo69	96.05	3	1	6	253	1146.5	A1.3_HE578976
264	denovo65	96.08	5	1	4	255	1147	C3b_AF499791
265	denovo172	94.4	10	3	2	268	1147.5	C3b_AF499791
266	denovo326	95.04	1	8	5	282	1148	C3.15_FJ529649
267	denovo531	95.69	1	3	7	255	1149.5	A1_AF333505
268	denovo731	94.98	6	1	6	259	1150.5	D2_AY686649
269	denovo545	97.53	1	2	4	283	1150.5	C3k_AY589737
270	denovo916	96.83	6	0	2	252	1153	C3k_AY589737
271	denovo912	95.4	6	2	4	261	1153.5	C3k_AY589737
272	denovo308	96.81	7	1	0	251	1154	A1.4_HE578977
273	denovo304	96.08	3	4	3	255	1154.5	A1.4_HE578977
274	denovo338	95.79	1	6	4	261	1154.5	D2_AY686649
275	denovo77	96.44	3	1	5	253	1155	A1.3_HE578976
276	denovo331	96.41	0	2	7	251	1155.5	A8_AY258468
277	denovo616	96.81	0	3	5	251	1158	A8_AY258468
278	denovo882	93.75	13	1	3	272	1158	C15f_AY589743
279	denovo318	96.47	2	5	2	255	1158.5	A1.4_HE578977
280	denovo648	96.5	6	2	1	257	1159.5	D1_AF334660;D1.6_HQ630881
281	denovo261	91.64	15	3	6	287	1160	C55_AY589759
282	denovo115	91.55	15	2	7	284	1160.5	C15f_AY589743
283	denovo306	96.08	8	1	1	255	1161	A1.4_HE578977
284	denovo738	96.08	3	2	5	255	1161	A1.3_HE578976
285	denovo771	95.52	5	5	2	268	1163.5	C3k_AY589737
286	denovo432	96.11	0	4	7	283	1163.5	C1233_EU118166;C15_AY239369;C15.1_FJ461508;C1088_DQ182640;C15.6_FN563472;C15.22_KC597695
287	denovo869	96.08	6	1	3	255	1164	A1_AF333505
288	denovo720	95.17	10	2	1	269	1164	C55_AY589759
289	denovo39	98.78	1	0	2	245	1165.5	C3k_AY589737
290	denovo783	97.21	1	3	3	251	1165.5	A8_AY258468
291	denovo220	97.63	4	2	0	253	1166.5	C15.23_KC597697
292	denovo746	96.47	6	2	1	255	1166.5	A1_AF333505
293	denovo79	96.5	4	2	3	257	1166.5	D1.11_HE579040
294	denovo494	97.23	2	1	4	253	1167.5	C3k_AY589737
295	denovo817	97.25	2	3	2	255	1167.5	A127_EF656429;A1_AF333505
296	denovo829	96.15	5	2	3	260	1167.5	C3k_AY589737
297	denovo776	96.15	5	1	4	260	1168.5	C3k_AY589737
298	denovo752	95.45	7	1	4	264	1168.5	C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695
299	denovo785	94.14	12	2	2	273	1168.5	C15.23_KC597697
300	denovo698	96.51	2	1	6	258	1170	C15a_AY258476;C15.4_FJ461511
301	denovo612	94.12	8	2	6	272	1170	C3k_AY589737
302	denovo727	96.81	0	1	7	251	1171	A8_AY258468
303	denovo397	96.47	6	2	1	255	1172	A1.1/A13_AF333504;A1.3_HE578976;A1_AF333505
304	denovo533	96.5	6	0	3	257	1172	C3k_AY589737
305	denovo118	97.61	2	3	1	251	1173	A6_AF186058
306	denovo280	97.21	0	2	5	251	1173.5	A8_AY258468
307	denovo588	97.21	0	2	5	251	1173.5	A8_AY258468
308	denovo815	96.47	5	1	3	255	1174	A1_AF333505
309	denovo822	96.86	2	3	3	255	1174	A1_AF333505
310	denovo52	95.82	5	2	4	263	1175.5	D106_AF174559
311	denovo563	94.85	7	4	3	272	1175.5	C1232_EU118163
312	denovo58	97.61	0	3	3	251	1176	A7_AY239360
313	denovo655	97.61	0	3	3	251	1176	A6_AF186058
314	denovo204	96.47	3	1	5	255	1176	A1.3_HE578976
315	denovo300	96.47	3	2	4	255	1176.5	A109_AB190285;A1_AF333505
316	denovo307	96.86	1	3	4	255	1176.5	A1_AF333505
317	denovo235	96.86	5	2	1	255	1177	A110_AB190282;A1_AF333505
318	denovo176	96.89	4	1	3	257	1177.5	C3k_AY589737
319	denovo117	97.61	3	2	1	251	1178	A6_AF186058
320	denovo36	96.54	5	1	3	260	1178	C3k_AY589737
321	denovo415	95.52	3	4	5	268	1178.5	C3k_AY589737
322	denovo312	96.86	3	3	2	255	1179	A1.4_HE578977
323	denovo178	97.25	1	4	2	255	1179	A1_AF333505
324	denovo888	94.85	6	3	5	272	1179	C1a_AF499788
325	denovo317	96.47	5	1	3	255	1179.5	A1.4_HE578977
326	denovo438	96.54	4	1	4	260	1179.5	C3k_AY589737
327	denovo889	93.17	10	1	8	278	1179.5	C3k_AY589737
328	denovo629	96.47	4	2	4	283	1179.5	C15.1_FJ461508
329	denovo903	97.61	1	2	3	251	1181	A8_AY258468
330	denovo119	94.35	0	13	3	283	1181	C1051_AF195153;C1233_EU118166;C15_AY239369;C15.1_FJ461508;C15.6_FN563472;C15.22_KC597695
331	denovo343	92.25	18	1	3	284	1182	C15f_AY589743
332	denovo750	96.86	1	2	5	255	1183	A1_AF333505
333	denovo263	98.01	0	3	2	251	1185	A7_AY239360
334	denovo589	98.01	0	3	2	251	1185	A6_AF186058
335	denovo205	96.86	7	1	0	255	1185	A1.4_HE578977
336	denovo744	97.67	2	3	1	257	1185.5	C15.9_FN563475
337	denovo333	92.58	9	3	9	283	1186	C1233_EU118166;C15.9_FN563475;C15_AY239369;C15.6_FN563472;C15.22_KC597695
338	denovo908	97.61	1	2	3	251	1186.5	A6_AF186058
339	denovo774	99.26	0	2	0	271	1186.5	D1_AF334660;D1a_JN558078;D111_AF174560;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895
340	denovo751	94.85	9	2	3	272	1186.5	C15a_AY258476;C15.4_FJ461511
341	denovo93	95.05	3	4	7	283	1187	C3k_AY589737
342	denovo232	97.25	4	2	1	255	1187.5	A1_AF333505
343	denovo262	95.24	5	3	5	273	1187.5	C55_AY589759
344	denovo316	97.61	0	2	4	251	1188	A16_EU792888;A7_AY239360
345	denovo784	96.95	3	3	2	262	1188	C40_AY258485
346	denovo405	97.61	0	1	5	251	1189	A8_AY258468
347	denovo647	97.25	3	2	2	255	1189	A127_EF656429;A1.4_HE578977
348	denovo578	94.85	10	2	2	272	1189	C3k_AY589737
349	denovo639	97.25	2	2	3	255	1189.5	A1_AF333505
350	denovo846	93.86	11	1	5	277	1189.5	C91_AJ621543;C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C93_AJ621536;C15.22_KC597695
351	denovo779	96.21	5	1	4	264	1191	C3k_AY589737
352	denovo362	92.58	12	2	7	283	1191.5	C15_AY239369;C15.22_KC597695
353	denovo85	92.93	3	5	12	283	1191.5	C3k_AY589737
354	denovo505	97.53	1	3	3	283	1193.5	C3_AB778606;C1003_DQ480639;C1045_DQ068036
355	denovo538	98.01	2	2	1	251	1194	A6_AF186058;A139_EU074962
356	denovo135	96.93	3	2	3	261	1194.5	C3k_AY589737
357	denovo251	98.01	1	2	2	251	1195.5	A6_AF186058
358	denovo402	98.01	1	2	2	251	1195.5	A7_AY239360
359	denovo70	97.25	3	1	3	255	1195.5	A1.1/A13_AF333504;A1.4_HE578977
360	denovo27	94.35	1	8	7	283	1195.5	C3k_AY589737
361	denovo491	94.57	11	2	2	276	1196.5	C3k_AY589737
362	denovo875	98.01	0	2	3	251	1197	A6_AF186058
363	denovo323	94.22	8	2	6	277	1197	C3k_AY589737
364	denovo134	96.58	6	2	1	263	1198	D1a_JN558078;D120_EU074900
365	denovo613	94.83	11	2	1	271	1198.5	D1a_JN558078;D120_EU074900
366	denovo855	97.25	4	1	2	255	1199	A1.4_HE578977
367	denovo543	95.59	7	4	1	272	1199.5	C1d_AY258488
368	denovo151	94.22	10	2	4	277	1200	C15a_AY258476
369	denovo690	95.05	0	12	2	283	1200	C15_AY239369;C1087_DQ182655
370	denovo270	98.41	0	2	2	251	1200.5	A7_AY239360
371	denovo311	98.03	4	1	0	254	1202	A1.4_HE578977
372	denovo450	96.25	7	1	2	267	1204	C15.23_KC597697
373	denovo55	97.65	3	1	2	255	1204.5	A1_AF333505
374	denovo295	97.32	2	2	3	261	1204.5	C15.23_KC597697
375	denovo772	96.6	5	2	2	265	1204.5	C15.4_FJ461511
376	denovo795	96.23	9	0	1	265	1206	C21/3d/C3k_AY239372
377	denovo347	96.74	4	2	3	276	1206	C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695
378	denovo231	98.41	0	1	3	251	1207	A8_AY258468
379	denovo302	98.04	2	3	0	255	1207.5	A1.4_HE578977
380	denovo38	94.58	11	1	3	277	1208	C3k_AY589737
381	denovo337	98.04	2	2	1	255	1208.5	A1_AF333505
382	denovo649	98.04	2	2	1	255	1208.5	A1.4_HE578977
383	denovo736	98.04	2	2	1	255	1208.5	A1_AF333505
384	denovo253	97.65	3	1	2	255	1210	A1_AF333505
385	denovo301	97.65	3	1	2	255	1210	A1_AF333505
386	denovo765	93.29	14	1	4	283	1211	C15a_AY258476;C15.4_FJ461511
387	denovo816	98.04	0	2	3	255	1211.5	A1.4_HE578977
